日期,今日是周几,今日是本年的第几周,今日是本年的第几天,是否节假日,本周的节假日有几天,距离下一个工作日有几天
2017-12-14,星期四,51,348,否,0,1
2017-12-15,星期五,51,349,否,0,2
2017-12-16,星期六,51,350,否,0,1
2017-12-17,星期天,51,351,否,0,1
2017-12-18,星期一,52,352,否,0,1
2017-12-19,星期二,52,353,否,0,1
2017-12-20,星期三,52,354,否,0,1
2017-12-21,星期四,52,355,否,0,1
2017-12-22,星期五,52,356,否,0,2
2017-12-23,星期六,52,357,否,0,1
2017-12-24,星期天,52,358,否,0,1
2017-12-25,星期一,53,359,否,2,1
2017-12-26,星期二,53,360,否,2,1
2017-12-27,星期三,53,361,否,2,1
2017-12-28,星期四,53,362,否,2,1
2017-12-29,星期五,53,363,否,2,4
2017-12-30,星期六,53,364,是,2,3
2017-12-31,星期天,53,365,是,2,2
